AllWISE,RAJ2000,DEJ2000,W1W2,W2W3
J030400.39+005112.9,46.0016515,0.8535984,0.3990000000000009,5.863999999999999
J030233.64+014920.0,45.6402001,1.8222466,-0.0229999999999996,5.839
J030049.69+012144.3,45.2070701,1.3623125,0.059000000000001,5.797999999999998
J030408.64+011911.4,46.0360208,1.3198529,0.1980000000000004,5.795
J030408.09+005720.7,46.0337431,0.9557614,-0.304000000000002,5.793000000000001
J030059.96+013754.6,45.2498499,1.6318519,0.1119999999999983,5.714
J025608.74+011316.0,44.0364295,1.2211184,1.9339999999999973,5.713000000000001
J030428.11+011619.6,46.1171542,1.2721344,0.0069999999999978,5.702000000000002
J030433.70+011126.0,46.1404338,1.1905584,0.1810000000000009,5.695999999999998
J030455.86+011124.1,46.2327811,1.1900294,0.0840000000000031,5.693999999999999
J030325.52+012536.0,45.8563555,1.42667,0.2579999999999991,5.689
J030453.41+011106.2,46.2225477,1.1850677,0.1030000000000015,5.686999999999999
J025819.81+014301.8,44.5825765,1.7171677,1.3350000000000009,5.686
J030142.78+015052.3,45.4282875,1.8478744,-0.0449999999999981,5.6850000000000005
J030327.54+011612.3,45.864761,1.2700848,0.3389999999999986,5.674000000000001
J030226.00+003747.9,45.6083716,0.6299853,0.3399999999999998,5.672000000000001
J030339.81+012211.1,45.9159057,1.3697558,0.3540000000000027,5.667999999999999
J030144.98+005722.3,45.4374197,0.9561958,0.1239999999999987,5.664
J030205.51+013139.9,45.5229865,1.5277574,0.0659999999999989,5.660000000000002
J030053.91+020303.2,45.2246423,2.0509047,0.0839999999999996,5.660000000000002
