AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M,W1W2,W2W3
J030132.55+003615.4,45.3856541,0.60429,Im,17.467,0.151,16.774,,12.685,,8.172,,,,,,,,0000,0,nnnn,760.0,1283.0,550.0,1342.0,BUUU,,2M,0.6929999999999978,4.089
J030129.44+003637.7,45.3727047,0.6104923,Im,17.568,0.163,16.69,0.281,12.116,,9.005,,,,,,,,0000,0,nnnn,907.0,1269.0,404.0,1312.0,BBUU,,2M,0.8780000000000001,4.574000000000002
J030136.74+003615.6,45.4031053,0.6043424,Im,17.877,0.207,17.238,,12.159,,8.969,,,,,,,,0000,0,nnnn,-500.0,2086.0,1373.0,2154.0,BUUU,,2M,0.6389999999999993,5.078999999999999
J030136.88+003625.0,45.4036802,0.6069501,Im,17.755,0.196,17.107,0.459,12.65,,8.834,,,,,,,,0000,0,nnnn,-261.0,1513.0,90.0,1597.0,BCUU,,2M,0.6479999999999997,4.456999999999999
J030134.32+003630.2,45.3930188,0.6084078,Im,17.729,0.188,16.91,,12.661,,8.731,,,,,,,,0000,0,nnnn,91.0,1766.0,988.0,1868.0,BUUU,,2M,0.8189999999999991,4.2490000000000006
J030134.90+003727.9,45.3954523,0.6244396,Im,17.388,0.142,16.8,,12.018,,8.594,,,,,,,,0000,0,nnnn,817.0,1098.0,400.0,1158.0,BUUU,,2M,0.588000000000001,4.782
J030136.89+003734.1,45.4037327,0.6261579,Im,17.729,0.181,16.644,,12.193,,8.954,,,,,,,,0000,0,nnnn,60.0,1556.0,631.0,1661.0,BUUU,,2M,1.0850000000000009,4.450999999999999
J030135.31+003741.0,45.3971493,0.6280778,Im,17.731,0.184,17.202,,12.185,,8.991,,,,,,,,0000,0,nnnn,343.0,1503.0,176.0,1589.0,BUUU,,2M,0.5289999999999999,5.017000000000001
J030142.19+003656.9,45.4258089,0.6158065,Im,17.559,0.166,16.846,0.342,12.645,,8.491,,,,,,,,0000,0,nnnn,-1401.0,1327.0,416.0,1417.0,BBUU,,2M,0.713000000000001,4.2010000000000005
J030150.26+003718.1,45.4594223,0.6216979,Im,17.325,0.135,16.66,,12.506,,8.748,,,,,,,,0000,0,nnnn,-90.0,1149.0,600.0,1213.0,BUUU,,2M,0.6649999999999991,4.154
J030153.86+003738.8,45.4744315,0.6274467,Im,17.84,0.207,17.185,,12.497,,8.744,,,,,,,,0000,0,nnnn,-478.0,1947.0,275.0,2074.0,BUUU,,2M,0.6550000000000011,4.687999999999999
J030152.74+003743.1,45.4697683,0.6286614,Im,17.927,0.219,17.405,,12.656,,9.025,,,,,,,,0000,0,nnnn,1325.0,1964.0,-1207.0,2099.0,BUUU,,2M,0.5219999999999985,4.7490000000000006
J030154.15+003812.0,45.4756454,0.6366709,Im,17.427,0.138,16.716,,12.205,,9.015,,,,,,,,0000,0,nnnn,-1125.0,1106.0,-276.0,1160.0,BUUU,,2M,0.7109999999999985,4.511000000000001
J030151.17+003757.9,45.4632308,0.632753,Im,17.399,0.144,16.753,0.323,12.206,,8.959,,,,,,,,0000,0,nnnn,972.0,1070.0,202.0,1111.0,BBUU,,2M,0.6460000000000008,4.547000000000001
J030149.45+003822.0,45.4560627,0.6394623,Im,17.399,0.133,16.779,,12.714,,8.838,,,,,,,,0000,0,nnnn,134.0,1167.0,34.0,1227.0,BUUU,,2M,0.620000000000001,4.065
J030138.95+003721.1,45.412324,0.6225342,Im,17.867,0.217,17.092,,12.699,,9.023,,,,,,,,0000,0,nnnn,-360.0,1870.0,-255.0,1951.0,BUUU,,2M,0.7750000000000021,4.392999999999999
J030139.59+003722.7,45.4149872,0.6229754,Im,17.68,0.18,16.863,,12.318,,8.821,0.437,,,,,,,0000,0,nnnn,-1082.0,1424.0,-1598.0,1504.0,BUUC,,2M,0.8170000000000002,4.545
J030137.66+003826.5,45.4069349,0.6406972,Im,17.577,0.167,17.025,0.399,11.958,,8.929,,,,,,,,0000,0,nnnn,-1030.0,1258.0,528.0,1331.0,BCUU,,2M,0.5520000000000032,5.066999999999998
J030139.68+003852.0,45.41537,0.64779,Im,17.57,0.165,16.683,,12.591,,9.12,,,,,,,,0000,0,nnnn,-20.0,1366.0,-882.0,1464.0,BUUU,,2M,0.8870000000000005,4.0920000000000005
J030146.08+003856.0,45.442004,0.6488958,Im,17.669,0.182,17.167,0.417,12.386,,8.896,,,,,,,,0000,0,nnnn,-874.0,1417.0,1596.0,1506.0,BCUU,,2M,0.5019999999999989,4.781000000000002
J030207.93+003654.6,45.533071,0.6151756,Im,17.385,0.151,16.703,,12.337,0.423,8.196,,,,,,,,0000,0,nnnn,156.0,1200.0,-728.0,1281.0,BUCU,,2M,0.6820000000000022,4.366
J030203.27+003637.5,45.5136502,0.6104294,Im,17.64,0.183,16.8,0.312,12.536,,8.871,,,,,,,,0000,0,nnnn,487.0,1445.0,-897.0,1504.0,BBUU,,2M,0.8399999999999999,4.264000000000001
J030204.78+003714.1,45.5199248,0.6205932,Im,17.68,0.189,16.792,,12.305,,8.828,,,,,,,,0000,0,nnnn,114.0,1673.0,369.0,1732.0,BUUU,,2M,0.8879999999999981,4.487000000000002
J030213.41+003727.4,45.5558915,0.6242944,Im,17.5,0.159,16.975,0.385,12.194,,8.5,,,,,,,,0000,0,nnnn,-36.0,1377.0,-384.0,1430.0,BCUU,,2M,0.5249999999999986,4.781000000000001
J030212.19+003751.5,45.5508089,0.6309765,Im,17.518,0.158,16.695,,12.32,,8.466,,,,,,,,0000,0,nnnn,-844.0,1428.0,755.0,1494.0,BUUU,,2M,0.8230000000000004,4.375
J030213.48+003813.1,45.5562065,0.6369751,Im,17.439,0.14,16.777,,12.434,,8.918,,,,,,,,0000,0,nnnn,-1911.0,1198.0,872.0,1225.0,BUUU,,2M,0.661999999999999,4.343000000000002
J030211.21+003756.8,45.5467401,0.6324655,Im,17.773,0.205,16.588,0.267,12.566,,8.651,,,,,,,,0000,0,nnnn,-1671.0,1499.0,2292.0,1603.0,BBUU,,2M,1.1849999999999987,4.022
J030207.89+003752.7,45.5328875,0.6313177,Im,17.778,0.195,17.212,0.446,12.408,,8.652,,,,,,,,0000,0,nnnn,-202.0,1488.0,-916.0,1613.0,BCUU,,2M,0.565999999999999,4.804
J030208.49+003815.1,45.5354086,0.6375394,Im,17.644,0.174,17.01,,12.427,,8.951,,,,,,,,0000,0,nnnn,1750.0,1564.0,-886.0,1638.0,BUUU,,2M,0.6339999999999968,4.583000000000002
J030212.33+003902.6,45.5513928,0.6507422,Im,17.09,0.115,16.377,0.212,11.98,,8.068,,,,,,,,0000,0,nnnn,382.0,815.0,63.0,850.0,BBUU,,2M,0.713000000000001,4.396999999999999
J030159.74+003751.0,45.4989252,0.6308597,Im,17.38,0.149,16.605,0.285,12.198,,8.745,,,,,,,,0000,0,nnnn,-559.0,1161.0,-236.0,1229.0,BBUU,,2M,0.7749999999999986,4.407
J030200.64+003826.4,45.5026878,0.64069,Im,17.706,0.18,16.775,,12.314,,8.486,,,,,,,,0000,0,nnnn,-1208.0,1490.0,917.0,1582.0,BUUU,,2M,0.9310000000000008,4.460999999999999
J030206.72+003828.3,45.5280095,0.6412175,Im,17.82,0.208,16.771,0.313,12.39,,8.605,,,,,,,,0000,0,nnnn,-217.0,1553.0,-683.0,1635.0,BBUU,,2M,1.0489999999999997,4.381
J030206.29+003849.1,45.5262284,0.6469991,Im,17.791,0.198,16.784,,12.486,,8.462,,,,,,,,0000,0,nnnn,-596.0,1805.0,112.0,1879.0,BUUU,,2M,1.0070000000000014,4.297999999999998
J030207.48+003859.4,45.5311882,0.649856,Im,17.216,0.118,16.233,0.183,12.004,,8.532,,,,,,,,0000,0,nnnn,-53.0,832.0,466.0,875.0,BBUU,,2M,0.9830000000000004,4.229000000000001
J030205.32+003926.5,45.5221809,0.6573867,Im,17.633,0.183,16.913,0.334,12.218,,8.793,,,,,,,,0000,0,nnnn,541.0,1584.0,-428.0,1667.0,BBUU,,2M,0.7199999999999989,4.695
J030216.31+003913.5,45.5679854,0.6537622,Im,17.821,0.215,16.839,0.333,12.45,,8.751,,,,,,,,0000,0,nnnn,-194.0,1699.0,-1812.0,1769.0,BBUU,,2M,0.9820000000000028,4.388999999999999
J030223.21+003944.4,45.5967289,0.6623334,Im,17.852,0.204,16.957,,12.084,,8.833,,,,,,,,0000,0,nnnn,-1509.0,1756.0,919.0,1848.0,BUUU,,2M,0.8949999999999996,4.873000000000001
J030222.93+004015.9,45.5955833,0.6710887,Im,17.209,0.13,16.411,0.215,12.016,,8.445,,,,,,,,0000,0,nnnn,-128.0,991.0,1097.0,1058.0,BBUU,,2M,0.7979999999999983,4.395000000000001
J030219.90+003946.8,45.5829189,0.6630138,Im,17.237,0.124,16.697,0.275,12.584,,8.629,,,,,,,,0000,0,nnnn,599.0,937.0,99.0,978.0,BBUU,,2M,0.5399999999999991,4.113
J030212.57+003932.9,45.5524007,0.6591652,Im,17.301,0.124,16.738,0.296,12.543,,8.8,,,,,,,,0000,0,nnnn,509.0,971.0,424.0,1020.0,BBUU,,2M,0.5629999999999988,4.195
J030211.16+003927.4,45.54653,0.6576126,Im,17.865,0.213,16.709,0.305,12.158,,8.843,,,,,,,,0000,0,nnnn,3006.0,1603.0,-1969.0,1667.0,BBUU,,2M,1.1559999999999988,4.551
J030215.32+004035.9,45.5638335,0.6766416,Im,17.201,0.127,16.62,0.266,11.813,,8.239,,,,,,,,0000,0,nnnn,-390.0,964.0,603.0,1016.0,BBUU,,2M,0.5809999999999995,4.807
J030210.65+004007.0,45.5443839,0.6686375,Im,17.542,0.159,16.782,,12.399,,8.79,,,,,,,,0000,0,nnnn,-386.0,1517.0,433.0,1575.0,BUUU,,2M,0.7600000000000016,4.383000000000001
