AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M
J030011.19+002045.8,45.0466458,0.3460813,Im,16.464,0.066,16.501,0.24,12.396,,9.095,,,,,,,,0000,0,0nnn,10,438,-614,466,ABUU,,2M
J030010.00+002043.0,45.0417019,0.3452919,Im,15.511,0.039,15.303,0.09,12.571,,9.129,,,,,,,,0000,0,0nnn,-220,186,12,196,AAUU,,2M
J030009.48+002054.5,45.0395166,0.348492,Im,15.842,0.046,15.83,0.129,11.463,0.165,8.853,0.388,,,,,,,0000,0,0nnn,244,270,43,283,ABBC,,2M
J030012.56+002107.7,45.052351,0.352154,Im,16.756,0.079,16.6,0.274,12.318,,8.936,,,,,,,,0000,0,nnnn,501,563,-896,600,ABUU,,2M
J030014.82+002117.6,45.0617532,0.3548975,Im,17.768,0.189,16.655,,12.066,,9.015,,,,,,,,0000,0,nnnn,-576,1571,-1344,1688,BUUU,,2M
J030012.78+002125.4,45.0532504,0.3570769,Im,16.262,0.059,16.286,0.201,12.423,,8.906,,,,,,,,0000,0,0nnn,641,370,472,400,ABUU,,2M
J030008.03+002054.0,45.0334951,0.3483478,Im,15.177,0.034,15.234,0.081,12.259,0.357,8.698,,15.826,0.081,15.615,0.135,15.152,0.161,0000,0,0nnn,-360,147,121,156,AACU,0.315,2M
J030007.96+002105.7,45.0331995,0.3515953,Im,16.418,0.066,16.667,0.266,12.418,,8.644,,,,,,,,0000,0,0nnn,-200,432,-92,461,ABUU,,2M
J030009.67+002104.6,45.0402961,0.351282,Im,17.164,0.146,17.002,0.432,11.912,,8.617,,,,,,,,0000,0,nnnn,-1380,1000,-631,1210,BCUU,,2M
J030006.54+002108.4,45.0272639,0.3523367,Im,16.568,0.069,16.841,0.303,12.784,,9.041,,,,,,,,0000,0,0nnn,246,506,-524,537,ABUU,,2M
J030006.82+002124.6,45.0284202,0.3568558,Im,17.515,0.151,17.167,,12.321,,8.743,,,,,,,,0000,0,nnnn,1462,1399,31,1491,BUUU,,2M
J030007.09+002130.4,45.0295546,0.3584686,Im,15.525,0.038,15.792,0.128,12.616,,8.923,,16.618,0.156,15.967,0.175,15.668,0.244,0000,0,0nnn,-192,192,23,203,ABUU,0.728,2M
J030009.95+002126.2,45.041465,0.3572944,Im,17.368,0.128,17.385,0.532,12.546,,8.659,,,,,,,,0000,0,nnnn,-186,1068,-400,1144,BCUU,,2M
J030010.69+002134.5,45.0445547,0.3596082,Im,17.056,0.108,16.77,0.314,12.318,,8.599,,,,,,,,0000,0,nnnn,365,806,-125,843,ABUU,,2M
J030017.21+002138.5,45.0717484,0.3607122,Im,17.331,0.128,16.588,0.251,12.503,,8.789,,,,,,,,0000,0,nnnn,410,988,-1454,1040,BBUU,,2M
J030013.97+002157.2,45.0582281,0.3658939,Im,17.526,0.156,17.035,0.384,12.769,,8.49,,,,,,,,0000,0,nnnn,763,1263,-797,1345,BCUU,,2M
J030016.68+002212.9,45.0695161,0.3702603,Im,17.316,0.129,16.795,0.318,12.521,,8.674,,,,,,,,0000,0,nnnn,1292,994,-2362,1062,BBUU,,2M
J030018.70+002248.8,45.0779195,0.3802406,Im,17.441,0.145,16.814,0.314,12.219,0.342,9.101,,,,,,,,0000,0,nnnn,-1068,1102,123,1171,BBBU,,2M
J030013.74+002207.0,45.0572534,0.3686286,Im,17.537,0.16,16.881,0.32,12.766,,8.592,,,,,,,,0000,0,nnnn,-1378,1281,38,1382,BBUU,,2M
J030011.93+002213.8,45.0497212,0.3705006,Im,12.614,0.024,12.677,0.025,12.24,,9.167,,13.363,0.023,12.814,0.027,12.679,0.032,0000,0,00nn,-64,36,-53,37,AAUU,0.135,2M
J030012.76+002245.2,45.0532012,0.3792226,Im,17.723,0.189,17.379,0.526,12.585,,8.823,,,,,,,,0000,0,nnnn,-1153,1574,592,1673,BCUU,,2M
J030013.15+002253.3,45.0548149,0.3814852,Im,17.801,0.204,16.811,,11.923,,9.131,,,,,,,,0000,0,nnnn,-230,1915,-562,2036,BUUU,,2M
J030018.02+002300.6,45.0751158,0.3835007,Im,16.723,0.079,16.564,0.249,12.38,,8.982,,,,,,,,0000,0,nnnn,79,538,-350,575,ABUU,,2M
J030015.97+002322.3,45.06655,0.3895334,Im,17.206,0.117,16.851,,12.283,,9.057,,,,,,,,0000,0,nnnn,-343,939,-1221,1008,BUUU,,2M
J030004.82+002146.7,45.0201151,0.3629931,Im,14.369,0.028,14.309,0.043,12.455,,9.172,,15.497,0.067,14.707,0.061,14.61,0.098,0h00,0,00nn,66,79,-50,82,AAUU,0.198,2M
J030004.21+002207.8,45.0175602,0.3688384,Im,15.944,0.046,16.021,0.148,12.339,,9.121,,,,,,,,0000,0,0nnn,-37,275,-74,292,ABUU,,2M
J030005.35+002213.7,45.0223094,0.3704902,Im,17.209,0.118,17.424,0.533,12.504,,9.204,,,,,,,,0000,0,nnnn,117,904,-819,953,BCUU,,2M
J030007.20+002203.4,45.0300245,0.3676242,Im,14.082,0.026,13.765,0.035,12.405,,9.086,,16.255,0.134,15.81,0.157,14.908,0.149,0000,0,00nn,30,64,77,66,AAUU,0.609,2M
J030006.90+002223.9,45.0287621,0.3733226,Im,17.811,0.207,16.873,,12.425,,9.159,,,,,,,,0000,0,nnnn,1892,1753,203,1852,BUUU,,2M
J030001.96+002205.8,45.008176,0.3682936,Im,17.982,0.217,17.497,,12.738,,9.293,,,,,,,,0000,0,nnnn,539,1971,1911,2116,BUUU,,2M
J030003.20+002214.6,45.0133586,0.370739,Im,17.818,0.193,17.439,,12.224,,9.254,,,,,,,,0000,0,nnnn,-47,1518,-2068,1608,BUUU,,2M
J030004.43+002224.5,45.0184621,0.3734729,Im,16.646,0.086,16.265,0.192,12.668,0.511,9.175,,,,,,,,0000,0,nnnn,-22,548,-51,591,ABCU,,2M
J030003.77+002221.0,45.015713,0.3725108,Im,17.671,0.169,16.858,,12.737,,9.225,,,,,,,,0000,0,nnnn,-500,1521,-1635,1588,BUUU,,2M
J030002.87+002229.2,45.0119838,0.3747818,Im,14.992,0.034,15.032,0.072,12.078,,8.859,,15.646,0.076,15.469,0.117,15.454,0.205,0000,0,00nn,-57,140,94,144,AAUU,0.945,2M
J030003.64+002237.4,45.0151731,0.3770818,Im,17.657,0.176,16.717,0.288,12.336,,9.113,,,,,,,,0000,0,nnnn,-1259,1383,1238,1454,BBUU,,2M
J030005.80+002234.9,45.0241921,0.3763864,Im,16.624,0.076,16.929,0.352,12.693,,9.219,,,,,,,,0000,0,0nnn,289,515,333,539,ABUU,,2M
J030005.27+002255.5,45.0219696,0.3821019,Im,17.405,0.15,17.447,,12.42,,8.358,,,,,,,,0000,0,nnnn,148,1183,702,1222,BUUU,,2M
J030006.86+002256.0,45.0286084,0.3822369,Im,17.054,0.106,16.959,0.357,12.02,,8.985,,,,,,,,0000,0,nnnn,476,786,218,832,ACUU,,2M
J030005.80+002250.6,45.0241699,0.3807371,Im,17.423,0.152,16.877,,12.417,,8.531,,,,,,,,0000,0,nnnn,-188,1266,-1115,1301,BUUU,,2M
