AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M
J025959.07+000020.3,44.9961431,0.0056546,Im,15.782,0.042,15.86,0.137,12.882,,8.746,,16.376,0.097,15.77,0.14,15.258,0.141,0000,0,0nnn,-10,243,165,251,ABUU,0.452,2M
J030001.28+000022.6,45.0053734,0.0062897,Im,17.775,0.183,17.214,0.431,12.866,,9.007,,,,,,,,0000,0,nnnn,-3711,1531,1233,1600,BCUU,,2M
J025959.32+000037.3,44.9971668,0.0103818,Im,16.641,0.073,16.503,0.235,12.745,,8.983,,,,,,,,0000,0,nnnn,383,536,-358,560,ABUU,,2M
J030004.10+000104.6,45.0171151,0.0179664,Im,16.733,0.086,15.955,0.147,12.819,,9.121,,,,,,,,0000,0,nnnn,302,586,-240,624,ABUU,,2M
J030003.39+000110.8,45.014155,0.0196675,Im,17.143,0.115,15.53,0.104,12.151,,9.065,,,,,,,,0000,0,nnnn,-809,644,640,697,BAUU,,2M
J030001.16+000111.8,45.0048642,0.0199593,Im,11.687,0.022,11.724,0.021,11.541,0.159,8.494,,12.529,0.024,11.954,0.03,11.874,0.029,0000,1,11nn,9,30,26,30,AABU,0.552,2M
J025957.30+000045.8,44.9887837,0.0127401,Im,17.056,0.101,16.662,,12.576,,8.598,,,,,,,,0000,0,nnnn,-131,850,-363,867,AUUU,,2M
J025959.45+000104.1,44.9977117,0.017807,Im,16.94,0.093,16.454,0.233,12.272,,9.178,,,,,,,,0000,0,nnnn,-170,675,-346,713,ABUU,,2M
J025956.19+000107.3,44.9841501,0.01872,Im,17.651,0.177,17.287,0.462,12.697,,8.543,,,,,,,,0000,0,nnnn,-1927,1503,-1972,1599,BCUU,,2M
J030002.23+000135.9,45.0093198,0.0266406,Im,17.398,0.134,16.252,0.183,12.844,,9.239,,,,,,,,0000,0,nnnn,-218,1010,-625,1069,BBUU,,2M
J030000.04+000144.1,45.0001924,0.0289384,Im,17.617,0.171,16.996,0.363,12.614,,9.382,,,,,,,,0000,0,nnnn,-696,1396,-334,1460,BCUU,,2M
J030000.68+000205.0,45.0028338,0.0347476,Im,16.78,0.082,16.843,,12.878,,9.273,,,,,,,,0000,0,nnnn,-1418,590,495,618,AUUU,,2M
J030006.61+000144.8,45.0275526,0.0291327,Im,16.995,0.103,16.9,,12.714,,8.511,,,,,,,,0000,0,nnnn,-574,812,196,845,AUUU,,2M
J030007.73+000204.6,45.0322295,0.0346332,Im,16.897,0.094,15.944,0.145,12.587,,9.292,,,,,,,,0000,0,nnnn,50,639,-327,674,ABUU,,2M
J030009.59+000221.6,45.0399736,0.0393405,Im,17.723,0.18,16.865,0.324,11.96,,9.201,,,,,,,,0000,0,nnnn,-185,1486,-2225,1568,BBUU,,2M
J030008.48+000223.6,45.03534,0.0398958,Im,17.474,0.14,16.948,0.337,12.839,,9.36,,,,,,,,0000,0,nnnn,-422,1146,-1107,1192,BBUU,,2M
J030007.48+000226.0,45.0311931,0.0405766,Im,17.136,0.11,17.078,0.38,12.778,,8.933,,,,,,,,0000,0,nnnn,1423,851,724,894,BCUU,,2M
J030003.14+000149.2,45.0130955,0.0303361,Im,15.688,0.043,15.611,0.111,12.009,0.273,8.774,,,,,,,,0000,0,0nnn,-151,245,-120,258,ABBU,,2M
J030001.59+000213.5,45.006658,0.0371022,Im,17.553,0.154,17.005,,12.79,,9.141,,,,,,,,0000,0,nnnn,1414,1374,-910,1452,BUUU,,2M
J030002.75+000226.9,45.0114644,0.0408292,Im,17.146,0.113,17.118,0.41,12.801,,8.62,,,,,,,,0000,0,nnnn,-50,895,853,959,BCUU,,2M
J030003.86+000231.0,45.0160937,0.0419646,Im,17.868,0.208,16.681,,12.426,,9.254,,,,,,,,0000,0,nnnn,557,1896,1962,1984,BUUU,,2M
J030005.73+000232.2,45.0239038,0.0422955,Im,16.943,0.097,16.861,0.319,12.249,,9.176,,,,,,,,0000,0,nnnn,71,730,-42,754,ABUU,,2M
J030004.22+000259.2,45.0176176,0.0497779,Im,17.705,0.172,17.25,,12.699,,9.178,,,,,,,,0000,0,nnnn,560,1753,645,1822,BUUU,,2M
J025955.27+000116.3,44.9803052,0.0212218,Im,16.903,0.093,15.893,0.135,12.136,,8.763,,,,,,,,0000,0,nnnn,241,610,-762,654,ABUU,,2M
J025955.78+000121.4,44.9824255,0.0226212,Im,17.295,0.122,16.877,0.322,12.773,,8.635,,,,,,,,0000,0,nnnn,513,986,-2032,1010,BBUU,,2M
J025954.09+000135.6,44.9753896,0.0265789,Im,16.272,0.057,16.161,0.17,12.65,,8.937,,,,,,,,0000,0,0nnn,433,373,-242,394,ABUU,,2M
J025955.47+000203.4,44.9811361,0.034279,Im,16.936,0.092,16.666,0.265,12.641,,9.182,,,,,,,,0000,0,nnnn,-280,673,-1187,702,ABUU,,2M
J025958.03+000205.9,44.9918015,0.0349943,Im,16.602,0.077,16.508,0.23,12.869,0.507,9.305,,,,,,,,0000,0,0nnn,-440,532,163,566,ABCU,,2M
J025958.79+000217.4,44.9949878,0.0381914,Im,15.852,0.046,15.547,0.101,12.791,,9.318,,16.746,0.134,15.814,0.14,16.125,0.324,0000,0,1nnn,-128,250,-144,264,AAUU,0.314,2M
J025958.05+000227.4,44.9918804,0.0409574,Im,15.404,0.037,15.149,0.076,11.92,0.217,9.053,,,,,,,,0000,0,0nnn,40,173,-103,183,AABU,,2M
J025952.10+000153.8,44.9671249,0.0316121,Im,16.735,0.078,16.744,0.288,12.394,,9.047,,,,,,,,0000,0,0nnn,192,574,-776,604,ABUU,,2M
J025953.21+000217.8,44.9717194,0.0382793,Im,17.01,0.1,16.87,,12.924,,9.266,,,,,,,,0000,0,nnnn,-328,772,-44,805,AUUU,,2M
J025951.37+000214.9,44.9640679,0.0374887,Im,16.459,0.066,16.33,0.187,12.734,,9.017,,,,,,,,0000,0,1nnn,-66,427,-520,451,ABUU,,2M
J025952.87+000233.9,44.9703211,0.0427506,Im,16.835,0.086,16.285,0.192,12.335,,8.751,,,,,,,,0000,0,nnnn,-540,608,766,634,ABUU,,2M
J025951.33+000236.8,44.9638962,0.0435673,Im,15.911,0.046,16.004,0.154,12.718,,9.364,,16.476,0.113,16.057,0.175,15.564,,0000,0,0nnn,-178,259,-75,273,ABUU,0.177,2M
J025954.99+000229.5,44.9791594,0.0415515,Im,17.956,0.213,17.419,0.518,12.963,,9.311,,,,,,,,0000,0,nnnn,-114,1956,1014,2072,BCUU,,2M
J025954.16+000230.4,44.9756759,0.0417813,Im,17.036,0.098,16.623,0.254,12.768,,9.036,,,,,,,,0000,0,nnnn,169,720,-1645,758,ABUU,,2M
J025955.85+000241.0,44.982711,0.0447479,Im,17.648,0.164,16.889,,12.914,,9.023,,,,,,,,0000,0,nnnn,-1012,1541,129,1660,BUUU,,2M
J025956.09+000300.1,44.9837427,0.0500376,Im,16.487,0.067,16.471,0.215,12.778,,9.314,,,,,,,,0000,0,0nnn,8,455,-331,469,ABUU,,2M
J025953.57+000241.9,44.9732369,0.0449894,Im,17.27,0.125,16.771,0.3,12.788,0.538,8.912,,,,,,,,0000,0,nnnn,973,905,-194,968,BBCU,,2M
J025953.69+000252.7,44.9737256,0.0479935,Im,16.481,0.068,15.857,0.134,12.777,,8.692,,,,,,,,0000,0,0nnn,-348,413,-530,442,ABUU,,2M
J025952.83+000256.6,44.9701347,0.0490726,Im,15.842,0.047,15.398,0.091,11.954,0.227,8.93,0.468,,,,,,,0000,0,0nnn,-362,248,-135,265,AABC,,2M
J030002.00+000240.8,45.0083501,0.0446877,Im,17.073,0.106,17.335,,12.891,,8.782,,,,,,,,0000,0,nnnn,-1174,793,1902,831,AUUU,,2M
J025959.40+000254.4,44.9975007,0.04846,Im,16.969,0.096,16.355,0.209,12.749,,9.275,,,,,,,,0000,0,nnnn,573,663,-272,704,ABUU,,2M
J030002.93+000253.8,45.0122412,0.0482872,Im,16.82,0.09,16.466,0.234,12.754,,9.217,,,,,,,,0000,0,nnnn,-481,644,1921,678,ABUU,,2M
J030001.86+000323.5,45.0077555,0.0565477,Im,17.695,0.178,17.34,0.519,12.465,,9.048,,,,,,,,0000,0,nnnn,363,1514,-131,1596,BCUU,,2M
J030000.76+000315.2,45.0031677,0.0542223,Im,16.625,0.077,16.547,0.255,12.792,,8.92,,,,,,,,0000,0,nnnn,696,545,-264,578,ABUU,,2M
J025958.08+000327.6,44.9920043,0.0576755,Im,17.22,0.117,16.643,0.254,12.274,,8.812,,,,,,,,0000,0,nnnn,510,897,329,968,BBUU,,2M
J025956.22+000311.4,44.9842827,0.0531833,Im,16.982,0.097,16.158,0.176,12.871,,9.307,,,,,,,,0000,0,nnnn,322,671,212,708,ABUU,,2M
J025956.13+000326.8,44.983914,0.0574718,Im,16.892,0.09,16.964,0.35,12.82,,9.422,,,,,,,,0000,0,nnnn,-126,651,57,691,ABUU,,2M
J025959.45+000346.7,44.9977499,0.0629859,Im,16.733,0.083,15.844,0.136,12.227,0.298,9.257,0.522,,,,,,,0000,0,nnnn,110,528,5,568,ABBC,,2M
J030000.28+000359.1,45.0011836,0.0664285,Im,16.682,0.076,16.89,0.349,12.9,,9.323,,,,,,,,0000,0,0nnn,306,556,-555,593,ABUU,,2M
J025959.46+000419.6,44.9977514,0.0721285,Im,17.86,0.211,17.418,0.521,12.792,,9.278,,,,,,,,0000,0,nnnn,344,1806,752,1949,BCUU,,2M
J030011.58+000253.7,45.0482773,0.048269,Im,12.682,0.023,12.701,0.025,12.054,0.3,9.155,,13.354,0.025,12.874,0.03,12.699,0.03,0000,0,11nn,6,37,27,37,AABU,0.216,2M
J030009.43+000302.6,45.0393132,0.0507472,Im,16.867,0.091,16.473,0.226,12.159,,8.578,,,,,,,,0000,0,nnnn,30,642,246,673,ABUU,,2M
J030011.64+000314.4,45.0485278,0.0540261,Im,17.32,0.124,16.71,,12.43,,9.34,,,,,,,,0000,0,nnnn,-388,990,1032,1065,BUUU,,2M
J030012.10+000328.6,45.0504419,0.0579715,Im,17.911,0.203,16.947,,12.652,0.474,8.923,,,,,,,,0000,0,nnnn,-927,1739,-1164,1849,BUCU,,2M
J030008.40+000305.5,45.0350401,0.0515552,Im,16.399,0.062,16.19,0.181,11.908,0.266,9.081,0.485,,,,,,,0000,0,0nnn,-1568,402,-463,424,ABBC,,2M
J030007.81+000308.1,45.0325524,0.0522541,Im,16.014,0.048,16.144,0.168,12.535,0.453,9.017,,,,,,,,0000,0,0nnn,156,298,-227,311,ABCU,,2M
J030008.27+000327.5,45.0344915,0.0576395,Im,17.745,0.176,17.498,,12.45,,9.21,,,,,,,,0000,0,nnnn,-983,1623,1692,1690,BUUU,,2M
J030009.35+000353.6,45.0389869,0.0649135,Im,16.979,0.095,17.042,0.388,12.773,,9.238,,,,,,,,0000,0,nnnn,-264,691,-813,732,ACUU,,2M
J030010.61+000411.8,45.0442446,0.0699583,Im,17.084,0.104,16.224,0.188,12.609,,8.927,,,,,,,,0000,0,nnnn,259,711,157,753,ABUU,,2M
J030009.97+000420.9,45.0415668,0.072497,Im,17.947,0.219,17.089,,12.353,,9.238,,,,,,,,0000,0,nnnn,-1139,1823,-1418,1924,BUUU,,2M
J030016.63+000334.8,45.0693038,0.059676,Im,17.916,0.205,16.843,,12.743,,8.969,,,,,,,,0000,0,nnnn,534,1745,136,1877,BUUU,,2M
J030017.74+000354.5,45.073958,0.0651545,Im,17.754,0.191,17.198,0.476,12.847,,9.382,,,,,,,,0000,0,nnnn,3130,1436,2726,1542,BCUU,,2M
J030013.68+000354.1,45.0570246,0.0650286,Im,16.604,0.07,17.212,0.432,12.285,,9.067,,,,,,,,0000,0,0nnn,-333,512,-133,550,ACUU,,2M
J030014.59+000409.7,45.0608267,0.069377,Im,17.708,0.167,17.079,,12.585,,9.153,,,,,,,,0000,0,nnnn,949,1397,-2053,1505,BUUU,,2M
J030018.37+000356.8,45.0765792,0.0658034,Im,16.897,0.093,16.92,0.33,12.604,,9.237,,,,,,,,0000,0,nnnn,198,718,485,761,ABUU,,2M
J030020.21+000433.6,45.0842129,0.076007,Im,17.282,0.121,16.914,0.321,12.778,,8.61,,,,,,,,0000,0,nnnn,110,995,-1597,1048,BBUU,,2M
J030019.13+000442.3,45.0797436,0.0784423,Im,17.545,0.152,17.36,0.51,11.964,,9.301,,,,,,,,0000,0,nnnn,-579,1239,772,1313,BCUU,,2M
J030012.95+000409.9,45.0539799,0.0694227,Im,16.185,0.054,16.256,0.191,11.777,0.233,8.741,,,,,,,,0000,0,0nnn,-240,341,-302,358,ABBU,,2M
J030012.60+000425.9,45.0525339,0.0738631,Im,15.905,0.047,15.585,0.107,11.955,,9.2,,,,,,,,0000,0,0nnn,-507,262,291,274,AAUU,,2M
J030013.18+000444.9,45.0549294,0.0791511,Im,17.222,0.112,16.397,0.205,12.112,,9.239,,,,,,,,0000,0,nnnn,-365,851,484,906,BBUU,,2M
J030017.06+000447.5,45.071115,0.079888,Im,17.45,0.139,17.129,0.42,12.056,,8.815,,,,,,,,0000,0,nnnn,447,1174,977,1248,BCUU,,2M
J030014.28+000454.7,45.0595144,0.0818617,Im,17.637,0.157,17.484,,12.739,,9.3,,,,,,,,0000,0,nnnn,880,1342,-51,1415,BUUU,,2M
J030015.75+000528.4,45.0656543,0.0912288,Im,17.875,0.206,16.929,0.366,12.804,,9.217,,,,,,,,0000,0,nnnn,542,1864,798,1975,BCUU,,2M
J030005.54+000349.1,45.0231162,0.0636577,Im,17.356,0.127,17.065,0.379,12.862,,9.22,,,,,,,,0000,0,nnnn,-1262,1038,123,1073,BCUU,,2M
J030004.29+000348.6,45.0179027,0.0635031,Im,17.435,0.139,16.52,0.239,11.985,,9.089,,,,,,,,0000,0,nnnn,-1289,965,1567,1035,BBUU,,2M
J030003.28+000353.4,45.0136906,0.0648501,Im,17.949,0.205,16.967,,12.845,,9.366,,,,,,,,0000,0,nnnn,-1211,1977,270,2073,BUUU,,2M
J030005.66+000406.3,45.0236112,0.0684355,Im,14.008,0.026,14.052,0.038,12.657,0.428,8.899,,14.729,0.038,14.141,0.043,14.024,0.074,0000,0,00nn,-20,63,-51,65,AACU,0.215,2M
J030005.07+000420.6,45.0211574,0.072416,Im,16.527,0.07,16.349,0.206,12.61,,8.859,,,,,,,,0000,0,0nnn,826,458,-36,491,ABUU,,2M
J030007.60+000419.3,45.0316755,0.0720525,Im,16.59,0.072,16.364,0.194,12.346,,8.744,,,,,,,,0000,0,1nnn,-87,486,-628,512,ABUU,,2M
J030007.99+000428.8,45.0333282,0.0746811,Im,16.61,0.074,16.139,0.17,12.082,,8.948,,,,,,,,0000,0,0nnn,640,487,828,513,ABUU,,2M
J030007.32+000439.1,45.0305226,0.077542,Im,17.436,0.136,16.939,0.339,12.48,,9.269,,,,,,,,0000,0,nnnn,-620,1048,-2951,1104,BBUU,,2M
J030007.74+000456.1,45.0322851,0.082273,Im,17.686,0.171,16.349,0.198,12.756,,9.305,,,,,,,,0000,0,nnnn,-1639,1138,220,1208,BBUU,,2M
J030002.47+000417.0,45.0103191,0.0713904,Im,17.643,0.161,17.469,,12.866,,9.192,,,,,,,,0000,0,nnnn,125,1304,-1959,1351,BUUU,,2M
J030003.60+000433.5,45.0150095,0.0759854,Im,17.916,0.211,16.825,,12.817,,9.107,,,,,,,,0000,0,nnnn,1620,1791,826,1917,BUUU,,2M
J030005.90+000450.7,45.024603,0.0807699,Im,16.724,0.079,15.989,0.142,12.262,,9.311,,,,,,,,0000,0,nnnn,-320,516,-303,546,ABUU,,2M
J030006.39+000454.0,45.0266398,0.0816737,Im,16.238,0.055,16.147,0.173,12.628,,9.237,,,,,,,,0000,0,0nnn,-106,348,126,364,ABUU,,2M
J030006.54+000514.3,45.0272861,0.0873266,Im,17.869,0.199,17.003,,12.722,,8.921,,,,,,,,0000,0,nnnn,-1302,1701,3621,1789,BUUU,,2M
J030004.66+000506.3,45.0194509,0.0850984,Im,17.684,0.16,17.247,0.473,12.303,,9.222,,,,,,,,0000,0,nnnn,-840,1396,415,1484,BCUU,,2M
J030003.67+000508.0,45.0153084,0.0855592,Im,15.764,0.043,15.664,0.119,12.334,,8.616,,,,,,,,0000,0,0nnn,-156,230,-442,240,ABUU,,2M
J030012.92+000503.3,45.0538472,0.0842652,Im,16.91,0.088,16.886,,12.847,,8.919,,,,,,,,0000,0,nnnn,467,691,-715,726,AUUU,,2M
J030012.18+000459.3,45.0507745,0.0831479,Im,17.749,0.178,16.93,,12.791,,9.31,,,,,,,,0000,0,nnnn,576,1481,-325,1585,BUUU,,2M
J030011.90+000517.5,45.0496081,0.088216,Im,17.659,0.163,17.351,0.504,12.151,,9.252,,,,,,,,0000,0,nnnn,-1006,1373,1058,1454,BCUU,,2M
J030009.34+000512.6,45.0389541,0.0868468,Im,15.955,0.048,15.995,0.152,12.646,,9.3,,,,,,,,0000,0,0nnn,-19,272,-109,286,ABUU,,2M
J030013.91+000521.7,45.0579596,0.0893723,Im,16.342,0.059,16.167,0.185,12.238,0.324,9.336,,,,,,,,0000,0,0nnn,34,376,-75,403,ABBU,,2M
J030014.55+000542.9,45.0606349,0.0952704,Im,16.569,0.068,16.509,0.262,12.173,,9.09,,,,,,,,0000,0,1nnn,53,466,157,495,ABUU,,2M
J030012.00+000525.9,45.0500169,0.0905425,Im,17.631,0.155,17.466,,12.775,,8.895,,,,,,,,0000,0,nnnn,243,1430,129,1514,BUUU,,2M
J030012.88+000547.7,45.0536871,0.0965874,Im,17.873,0.2,17.074,,12.879,,9.19,,,,,,,,0000,0,nnnn,-932,1837,1298,1931,BUUU,,2M
J030009.18+000532.2,45.0382559,0.0922907,Im,17.838,0.197,17.138,0.442,12.68,,9.121,,,,,,,,0000,0,nnnn,-636,1750,-650,1865,BCUU,,2M
J030006.68+000538.7,45.0278548,0.0940968,Im,16.773,0.082,17.04,0.384,12.602,0.419,9.303,,,,,,,,0000,0,0nnn,290,597,-160,637,ACCU,,2M
J030008.76+000550.7,45.0365292,0.0974213,Im,17.756,0.185,17.147,,12.398,,9.251,,,,,,,,0000,0,nnnn,-3123,1445,4814,1527,BUUU,,2M
J030010.64+000545.3,45.044356,0.095922,Im,16.312,0.06,15.834,0.129,12.633,,9.266,,,,,,,,0000,0,0nnn,328,363,203,384,ABUU,,2M
J025949.76+000232.6,44.957359,0.042396,Im,16.836,0.089,16.209,0.172,12.53,0.411,8.95,,,,,,,,0000,0,nnnn,155,610,413,634,ABCU,,2M
J025951.94+000246.7,44.9664268,0.0463069,Im,16.783,0.08,16.371,0.211,12.941,,8.893,,,,,,,,0000,0,nnnn,694,572,338,608,ABUU,,2M
J025949.25+000314.9,44.9552428,0.0541417,Im,16.31,0.058,16.159,0.175,12.466,,9.288,,,,,,,,0000,0,0nnn,161,358,38,381,ABUU,,2M
J025951.80+000302.3,44.9658657,0.0506615,Im,17.316,0.127,17.135,0.404,12.897,,9.112,,,,,,,,0000,0,nnnn,796,1001,310,1046,BCUU,,2M
J025952.02+000310.4,44.9667615,0.052913,Im,17.607,0.161,16.686,0.277,12.53,,9.2,,,,,,,,0000,0,nnnn,-596,1288,347,1340,BBUU,,2M
J025953.72+000309.0,44.9738744,0.0525154,Im,15.465,0.039,15.161,0.075,12.152,,8.754,,,,,,,,0000,0,11nn,-164,176,18,186,AAUU,,2M
J025954.11+000322.9,44.9754623,0.0563819,Im,16.749,0.08,16.3,0.187,12.69,,9.301,,,,,,,,0000,0,nnnn,178,536,130,569,ABUU,,2M
J025951.44+000343.0,44.9643394,0.0619575,Im,17.003,0.098,16.871,,12.346,,9.279,,,,,,,,0000,0,nnnn,-347,710,-225,748,AUUU,,2M
J025952.33+000342.3,44.9680753,0.0617705,Im,16.84,0.084,16.629,0.264,12.813,,9.069,,,,,,,,0000,0,0nnn,-706,605,-313,640,ABUU,,2M
J025945.70+000336.7,44.9404176,0.0602027,Im,17.207,0.113,16.711,,12.346,,8.959,,,,,,,,0000,0,nnnn,1089,925,651,955,BUUU,,2M
J025949.46+000408.7,44.956098,0.0690923,Im,16.328,0.059,16.887,0.317,12.226,,9.436,,,,,,,,0000,0,0nnn,263,391,-150,412,ABUU,,2M
J025950.24+000417.3,44.9593719,0.0714747,Im,17.789,0.194,17.116,0.409,12.79,,9.437,,,,,,,,0000,0,nnnn,-6469,1470,-716,1505,BCUU,,2M
J025949.37+000424.2,44.9557241,0.073414,Im,16.925,0.092,15.765,0.129,12.847,,9.319,,,,,,,,0000,0,nnnn,-717,595,-8,632,ABUU,,2M
J025954.51+000338.2,44.977157,0.0606192,Im,16.848,0.089,16.975,,12.744,,9.172,,,,,,,,0000,0,nnnn,214,652,-215,689,AUUU,,2M
J025955.83+000355.9,44.9826376,0.0655479,Im,16.86,0.09,16.947,0.347,12.317,,9.194,,,,,,,,0000,0,nnnn,-1180,634,-542,690,ABUU,,2M
J025953.56+000404.2,44.9731992,0.0678452,Im,17.225,0.115,17.128,0.41,12.854,,8.498,,,,,,,,0000,0,nnnn,707,890,-428,938,BCUU,,2M
J025954.52+000357.9,44.9772055,0.0661084,Im,15.781,0.046,15.693,0.117,12.33,0.317,9.379,,,,,,,,0000,0,1nnn,-74,235,-563,242,ABBU,,2M
J025957.29+000402.7,44.9887295,0.0674263,Im,16.212,0.057,15.921,0.148,12.236,,9.268,,,,,,,,0000,0,0nnn,30,330,134,348,ABUU,,2M
J025958.38+000434.8,44.9932771,0.0763466,Im,14.432,0.029,14.388,0.048,12.114,,9.218,,14.921,0.036,14.557,0.063,14.472,0.081,0000,0,00nn,-77,80,30,84,AAUU,0.295,2M
J025956.30+000419.0,44.9846137,0.0719479,Im,16.744,0.079,16.701,0.293,12.553,,9.39,,,,,,,,0000,0,0nnn,370,548,-288,585,ABUU,,2M
J025957.64+000437.8,44.9901685,0.0771785,Im,15.244,0.036,14.921,0.066,12.045,0.289,9.087,0.505,,,,,,,0000,0,nnnn,92,140,170,147,AABC,,2M
J025951.75+000404.1,44.9656436,0.0678226,Im,15.575,0.04,15.354,0.09,12.397,,9.083,,,,,,,,0000,0,1nnn,-52,196,18,205,AAUU,,2M
J025952.91+000406.4,44.9704609,0.0684504,Im,17.16,0.111,17.195,0.44,12.281,,8.906,,,,,,,,0000,0,nnnn,-1926,830,-569,877,BCUU,,2M
J025952.44+000422.6,44.9685107,0.0729705,Im,17.872,0.208,17.438,,12.628,,9.407,,,,,,,,0000,0,nnnn,876,1680,1842,1780,BUUU,,2M
J025953.06+000418.4,44.9711022,0.0717975,Im,17.882,0.211,17.068,,12.809,,9.384,,,,,,,,0000,0,nnnn,-20,1857,-468,1919,BUUU,,2M
J025951.45+000430.0,44.9644088,0.0750097,Im,16.348,0.063,16.369,0.216,12.793,,9.272,,,,,,,,0000,0,0nnn,-134,381,175,402,ABUU,,2M
J025950.65+000437.8,44.9610721,0.0771859,Im,16.348,0.062,16.013,0.148,12.099,0.258,8.956,,,,,,,,0000,0,0nnn,204,373,482,392,ABBU,,2M
J025952.86+000441.3,44.9702756,0.0781566,Im,17.427,0.142,17.089,0.392,12.779,,9.264,,,,,,,,0000,0,nnnn,-590,1102,-357,1153,BCUU,,2M
J025954.70+000435.0,44.9779407,0.0763971,Im,17.325,0.13,16.994,,12.601,,9.372,,,,,,,,0000,0,nnnn,-537,1017,123,1082,BUUU,,2M
J025953.70+000447.2,44.9737893,0.0797833,Im,17.41,0.142,16.814,,12.596,,9.213,,,,,,,,0000,0,nnnn,-559,1025,298,1089,BUUU,,2M
J025954.77+000458.4,44.978235,0.0829129,Im,15.276,0.037,15.255,0.081,12.756,,8.724,,,,,,,,0000,0,0nnn,-262,150,86,157,AAUU,,2M
J025953.82+000510.7,44.9742579,0.0863257,Im,17.54,0.154,16.858,,12.38,,9.228,,,,,,,,0000,0,nnnn,410,1249,1112,1322,BUUU,,2M
J025952.89+000509.1,44.9704082,0.0858616,Im,15.306,0.036,14.653,0.054,12.175,0.29,8.984,0.482,,,,,,,0000,0,00nn,73,151,148,158,AABC,,2M
J025954.85+000533.5,44.9785655,0.0926477,Im,16.013,0.052,15.681,0.11,12.835,,9.125,,16.505,0.122,16.169,0.182,15.95,,0000,0,0nnn,62,283,-91,301,ABUU,0.56,2M
J025945.86+000359.3,44.9410949,0.0664821,Im,17.452,0.138,16.855,,12.966,,9.312,,,,,,,,0000,0,nnnn,-1121,1084,1062,1147,BUUU,,2M
J025943.86+000353.4,44.9327906,0.0648436,Im,14.803,0.03,14.633,0.053,12.529,,9.137,,15.76,0.071,15.079,0.075,14.844,0.122,0000,0,00nn,49,105,158,111,AAUU,0.137,2M
J025942.55+000355.7,44.927316,0.0654894,Im,16.678,0.077,17.053,0.426,12.447,,8.815,,,,,,,,0000,0,0nnn,-422,566,203,597,ACUU,,2M
J025947.09+000400.8,44.9462473,0.0669079,Im,17.562,0.151,17.167,,12.501,,9.284,,,,,,,,0000,0,nnnn,936,1260,1050,1334,BUUU,,2M
J025946.78+000442.7,44.9449568,0.0785478,Im,17.607,0.164,16.583,0.246,12.865,,8.939,,,,,,,,0000,0,nnnn,-324,1213,-2473,1296,BBUU,,2M
J025946.23+000443.8,44.942659,0.0788488,Im,17.513,0.153,16.859,0.325,12.785,,9.153,,,,,,,,0000,0,nnnn,-1142,1175,192,1248,BBUU,,2M
J025941.02+000402.7,44.9209273,0.0674312,Im,16.424,0.065,15.982,0.137,12.946,,9.11,,,,,,,,0000,0,0nnn,-75,408,34,428,ABUU,,2M
J025941.39+000441.8,44.9224854,0.0782844,Im,17.209,0.116,16.877,0.367,12.221,,9.27,,,,,,,,0000,0,nnnn,88,889,-767,947,BCUU,,2M
J025942.06+000439.8,44.92529,0.0777292,Im,17.253,0.12,16.808,0.331,12.549,,9.259,,,,,,,,0000,0,nnnn,-494,958,49,1032,BBUU,,2M
J025943.64+000437.3,44.9318388,0.077046,Im,16.003,0.048,15.643,0.114,11.934,0.251,8.935,,,,,,,,0000,0,0nnn,-347,281,388,299,ABBU,,2M
J025944.50+000457.8,44.9354537,0.0827298,Im,16.726,0.075,16.924,0.331,12.661,,9.006,,,,,,,,0000,0,nnnn,-1266,554,640,582,ABUU,,2M
J025946.11+000501.3,44.9421388,0.0837189,Im,16.969,0.092,16.679,0.271,12.571,,8.631,,,,,,,,0000,0,nnnn,708,680,-112,711,ABUU,,2M
J025945.56+000514.2,44.9398525,0.0872998,Im,17.001,0.095,16.1,0.158,12.071,,9.027,,,,,,,,0000,0,nnnn,-152,656,262,705,ABUU,,2M
J025944.06+000520.5,44.9336203,0.0890447,Im,16.868,0.088,16.811,0.298,12.495,,9.304,,,,,,,,0000,0,nnnn,524,638,-305,670,ABUU,,2M
J025951.26+000454.4,44.9636194,0.0817993,Im,16.731,0.079,16.832,,12.722,,9.25,,,,,,,,0000,0,nnnn,-125,559,963,599,AUUU,,2M
J025947.61+000458.6,44.9483926,0.0829544,Im,17.898,0.209,17.039,,12.761,,9.346,,,,,,,,0000,0,nnnn,1255,1922,-1160,2033,BUUU,,2M
J025950.02+000518.3,44.9584475,0.0884295,Im,16.74,0.081,16.89,0.317,12.871,,9.351,,,,,,,,0000,0,nnnn,-78,568,146,596,ABUU,,2M
J025949.12+000530.3,44.9546938,0.0917649,Im,16.595,0.07,16.447,0.237,12.815,,9.216,,,,,,,,0000,0,nnnn,-102,502,514,523,ABUU,,2M
J025953.76+000527.0,44.9740256,0.0908532,Im,17.687,0.171,16.966,,12.835,,8.731,,,,,,,,0000,0,nnnn,-66,1472,824,1547,BUUU,,2M
